en,de
0.0101650,0.0100580
0.0100100,0.0098720
0.0099970,0.0075740
0.0049990,0.0049390
0.0049850,0.0049470
0.0049860,0.0049040
0.0049300,0.0049020
0.0049370,0.0049050
0.0049280,0.0048980
0.0049690,0.0049020
0.0049470,0.0049130
0.0049520,0.0049040
0.0049230,0.0049400
0.0049370,0.0048990
0.0049400,0.0049100
0.0049390,0.0050200
0.0050100,0.0049490
0.0049300,0.0049410
0.0049230,0.0049050
0.0049400,0.0049250
0.0049490,0.0049110
0.0049530,0.0049050
0.0049560,0.0049100
0.0049360,0.0048950
0.0049280,0.0048930
0.0049300,0.0048970
0.0049280,0.0048980
0.0049170,0.0049270
0.0049330,0.0049110
0.0049460,0.0049170
0.0049210,0.0048860
0.0049600,0.0049160
0.0049480,0.0049060
0.0049400,0.0048880
0.0049300,0.0049150
0.0049420,0.0049100
0.0049440,0.0049420
0.0049360,0.0049240
0.0049340,0.0048920
0.0049350,0.0049010
0.0049690,0.0048810
0.0049650,0.0048900
0.0049500,0.0048850
0.0049470,0.0048940
0.0049480,0.0049010
0.0049370,0.0048880
0.0049540,0.0049080
0.0049560,0.0048890
0.0049670,0.0048950
0.0049550,0.0048770
0.0049550,0.0048910
0.0049630,0.0048770
0.0049390,0.0048730
0.0049800,0.0049020
0.0049310,0.0049000
0.0049540,0.0048990
0.0049700,0.0048820
0.0049450,0.0048910
0.0049560,0.0048700
0.0049610,0.0048800
0.0049440,0.0048820
0.0049280,0.0048900
0.0049550,0.0049020
0.0049510,0.0048750
0.0049400,0.0048910
0.0049750,0.0049080
0.0049530,0.0049000
0.0049470,0.0049010
0.0049440,0.0048740
0.0049440,0.0048780
0.0049560,0.0048930
0.0049510,0.0049010
0.0049400,0.0048830
0.0049380,0.0048650
0.0049710,0.0049120
0.0049400,0.0048920
0.0049570,0.0048960
0.0049390,0.0049000
0.0049420,0.0049000
0.0049300,0.0049130
0.0049500,0.0049020
0.0049360,0.0049010
0.0049550,0.0049210
0.0049390,0.0049100
0.0049480,0.0049000
0.0049400,0.0049050
0.0049400,0.0049000
0.0049630,0.0048890
0.0049350,0.0049230
0.0049300,0.0048990
0.0049590,0.0048980
0.0049390,0.0049060
0.0049510,0.0048860
0.0049410,0.0049110
0.0049180,0.0049070
0.0049520,0.0048920
0.0049280,0.0049170
0.0049480,0.0048850
0.0049390,0.0049090
0.0049310,0.0048890
0.0049430,0.0049040
0.0049370,0.0049550
0.0049440,0.0049790
0.0050760,0.0050210
0.0052500,0.0049950
0.0049610,0.0050520
0.0050540,0.0051680
0.0049430,0.0050380
0.0049570,0.0053100
0.0049420,0.0050620
0.0049260,0.0052590
0.0049440,0.0051110
0.0049760,0.0052740
0.0050270,0.0050260
0.0049910,0.0051490
0.0051940,0.0049350
0.0052290,0.0050970
0.0049390,0.0050780
0.0049520,0.0052700
0.0050100,0.0049090
0.0049780,0.0048910
0.0049790,0.0048950
0.0049710,0.0048700
0.0049580,0.0049040
0.0049290,0.0049100
0.0049480,0.0048940
0.0049650,0.0049170
0.0049470,0.0049560
0.0049340,0.0049460
0.0049190,0.0049380
0.0049530,0.0048770
0.0049500,0.0048860
0.0049200,0.0048810
0.0049490,0.0048780
0.0049460,0.0049110
0.0049460,0.0049140
0.0049380,0.0049660
0.0049410,0.0049170
0.0049440,0.0048970
0.0049190,0.0049200
0.0049400,0.0048940
0.0049480,0.0049120
0.0049390,0.0049180
0.0049450,0.0048780
0.0049460,0.0048900
0.0049300,0.0049180
0.0049410,0.0049390
0.0049490,0.0049150
0.0049440,0.0048910
0.0049260,0.0048960
0.0049720,0.0049180
0.0049390,0.0048790
0.0049300,0.0048980
0.0049490,0.0048810
0.0049320,0.0049010
0.0049530,0.0049290
0.0049460,0.0049490
0.0049200,0.0049170
0.0049410,0.0048980
0.0049470,0.0049070
0.0049090,0.0048980
0.0049680,0.0048840
0.0049530,0.0048730
0.0049420,0.0049100
0.0049520,0.0049040
0.0049460,0.0048700
0.0049470,0.0049000
0.0049490,0.0049150
0.0049600,0.0048960
0.0049610,0.0049090
0.0049580,0.0048990
0.0049390,0.0048780
0.0049550,0.0048790
0.0049430,0.0048870
0.0049530,0.0048990
0.0049470,0.0048990
0.0049440,0.0049270
0.0049510,0.0049090
0.0049540,0.0048780
0.0049280,0.0049070
0.0049690,0.0048970
0.0049540,0.0048890
0.0049400,0.0048860
0.0049290,0.0049250
0.0049480,0.0048790
0.0049610,0.0048970
0.0049580,0.0049110
0.0049420,0.0048770
0.0049450,0.0048670
0.0049690,0.0048780
0.0049350,0.0048890
0.0049590,0.0048940
0.0049170,0.0048990
0.0049410,0.0048980
0.0049910,0.0050260
0.0050210,0.0053160
0.0052100,0.0048720
0.0050430,0.0049300
0.0050160,0.0048920
0.0050060,0.0048690
0.0049770,0.0049000
0.0049930,0.0049080
0.0049590,0.0048810
0.0049450,0.0049150
0.0049650,0.0049090
0.0050210,0.0049630
0.0049960,0.0049540
0.0049870,0.0049320
0.0049640,0.0049310
0.0049740,0.0049400
0.0050480,0.0049320
0.0050090,0.0049360
0.0049800,0.0049670
0.0049700,0.0049260
0.0049700,0.0049310
0.0050080,0.0049080
0.0049960,0.0049270
0.0049930,0.0048900
0.0049790,0.0049380
0.0049800,0.0049340
0.0049700,0.0049420
0.0049580,0.0049280
0.0049770,0.0049350
0.0049870,0.0049430
0.0049800,0.0049310
0.0049840,0.0049120
0.0049940,0.0049100
0.0049830,0.0049240
0.0049780,0.0049350
0.0049760,0.0049400
0.0049640,0.0049370
0.0049710,0.0049570
0.0049950,0.0049540
0.0049620,0.0049610
0.0049650,0.0049280
0.0049920,0.0049500
0.0049810,0.0049270
0.0049640,0.0049300
0.0049530,0.0049440
0.0049830,0.0049440
0.0049850,0.0049320
0.0049540,0.0049420
0.0049770,0.0049320
0.0049890,0.0049410
0.0049640,0.0049260
0.0049800,0.0049180
0.0049680,0.0049380
0.0049530,0.0049290
0.0049700,0.0049210
0.0049790,0.0049250
0.0049800,0.0049320
0.0049630,0.0049240
0.0049790,0.0049350
0.0049630,0.0049380
0.0049550,0.0049240
0.0049880,0.0049360
0.0049600,0.0049620
0.0049750,0.0049430
0.0049690,0.0049660
0.0049690,0.0049490
0.0049620,0.0049500
0.0049700,0.0049530
0.0049630,0.0049270
0.0049890,0.0049510
0.0049580,0.0049520
0.0049660,0.0049700
0.0049780,0.0049390
0.0049680,0.0049720
0.0049610,0.0049320
0.0049890,0.0049450
0.0049620,0.0049290
0.0049680,0.0049460
0.0050020,0.0049240
0.0049970,0.0049130
0.0049840,0.0049220
0.0049730,0.0049130
0.0049730,0.0049420
0.0049900,0.0049420
0.0049800,0.0049490
0.0049700,0.0049180
0.0049890,0.0049370
0.0049700,0.0049370
0.0049820,0.0049310
0.0049850,0.0049170
0.0049730,0.0049400
0.0049400,0.0049410
0.0049950,0.0049110
0.0050030,0.0049100
0.0049860,0.0049340
0.0050090,0.0049360
0.0050060,0.0049170
0.0049770,0.0049180
0.0049870,0.0049310
0.0049670,0.0049220
0.0049840,0.0049370
0.0049870,0.0049270
0.0049840,0.0049320
0.0049780,0.0049360
0.0049890,0.0049150
0.0050030,0.0049260
0.0049920,0.0049250
0.0049850,0.0049100
0.0049920,0.0049160
0.0049780,0.0049080
0.0049770,0.0049340
0.0049770,0.0049260
0.0049770,0.0049110
0.0049810,0.0049100
0.0049750,0.0049140
0.0049880,0.0049170
0.0049920,0.0049080
0.0049770,0.0049260
0.0049790,0.0049200
0.0049680,0.0049300
0.0049540,0.0049080
0.0049530,0.0049330
0.0049620,0.0049270
0.0049790,0.0049310
0.0049780,0.0049200
0.0049820,0.0049230
0.0049690,0.0049270
0.0049940,0.0049270
0.0049960,0.0049210
0.0049970,0.0049350
0.0049970,0.0049260
0.0050080,0.0049350
0.0050190,0.0049170
0.0049660,0.0049250
0.0049930,0.0049250
0.0050150,0.0049040
0.0049820,0.0049030
0.0050070,0.0049370
0.0049760,0.0049080
0.0049930,0.0049410
0.0049860,0.0049290
0.0049760,0.0049170
0.0049630,0.0049380
0.0049710,0.0049180
0.0049740,0.0049130
0.0050120,0.0049120
0.0049930,0.0049220
0.0049500,0.0049160
0.0049870,0.0049300
0.0049900,0.0049280
0.0049910,0.0049490
0.0049830,0.0049350
0.0049860,0.0049470
0.0049780,0.0049160
0.0049970,0.0048890
0.0049720,0.0049170
0.0049820,0.0049440
0.0049920,0.0049140
0.0049530,0.0049410
0.0049680,0.0049220
0.0050000,0.0049290
0.0049880,0.0049200
0.0049740,0.0049220
0.0049740,0.0049440
0.0049820,0.0049450
0.0049760,0.0049450
0.0049680,0.0049360
0.0049710,0.0049110
0.0049640,0.0049300
